,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-C8-A278-01A,0.062,0.007,0.029,0.004,0.018,0.000,0.006,0.037,0.140,0.004,0.137,0.003,0.000,0.001,0.000,0.551,0.551
TCGA-A7-A425-01A,0.007,0.000,0.004,0.001,0.007,0.000,0.023,0.081,0.192,0.027,0.094,0.000,0.000,0.009,0.000,0.551,0.551
TCGA-E2-A15H-01A,0.007,0.000,0.000,0.008,0.001,0.000,0.006,0.022,0.159,0.008,0.035,0.000,0.000,0.004,0.000,0.749,0.749
TCGA-A8-A06N-01A,0.001,0.000,0.001,0.006,0.000,0.000,0.000,0.021,0.000,0.004,0.048,0.000,0.000,0.009,0.000,0.911,0.911
TCGA-E2-A570-01A,0.002,0.000,0.006,0.002,0.002,0.000,0.006,0.040,0.299,0.016,0.041,0.001,0.000,0.004,0.000,0.581,0.581
TCGA-BH-A1FL-01A,0.000,0.009,0.005,0.000,0.007,0.000,0.006,0.065,0.132,0.025,0.039,0.005,0.000,0.009,0.000,0.696,0.696
TCGA-E2-A56Z-01A,0.012,0.000,0.004,0.008,0.001,0.000,0.001,0.031,0.063,0.022,0.019,0.000,0.000,0.001,0.000,0.838,0.838
TCGA-E9-A1RI-01A,0.005,0.000,0.008,0.001,0.003,0.000,0.003,0.035,0.324,0.010,0.081,0.005,0.000,0.005,0.000,0.519,0.519
TCGA-BH-A0DP-01A,0.006,0.002,0.009,0.001,0.012,0.001,0.024,0.056,0.280,0.013,0.084,0.004,0.000,0.005,0.000,0.501,0.501
TCGA-AR-A0U3-01A,0.006,0.000,0.012,0.009,0.001,0.000,0.012,0.035,0.050,0.006,0.042,0.000,0.000,0.007,0.000,0.819,0.819
TCGA-BH-A18L-01A,0.002,0.000,0.005,0.000,0.004,0.000,0.000,0.053,0.002,0.022,0.052,0.000,0.000,0.006,0.000,0.855,0.855
TCGA-A7-A3J1-01A,0.010,0.020,0.020,0.015,0.031,0.001,0.057,0.102,0.192,0.040,0.078,0.002,0.001,0.010,0.001,0.419,0.419
TCGA-AC-A6IW-01A,0.001,0.004,0.034,0.000,0.019,0.000,0.100,0.021,0.028,0.008,0.180,0.000,0.000,0.000,0.000,0.603,0.603
TCGA-AC-A3YI-01A,0.003,0.001,0.003,0.001,0.008,0.000,0.024,0.125,0.358,0.027,0.037,0.003,0.000,0.009,0.002,0.400,0.400
TCGA-D8-A1XG-01A,0.004,0.000,0.001,0.000,0.000,0.000,0.007,0.026,0.133,0.055,0.052,0.000,0.000,0.010,0.000,0.711,0.711
TCGA-A8-A082-01A,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.028,0.131,0.010,0.095,0.001,0.000,0.004,0.000,0.723,0.723
TCGA-OL-A5RU-01A,0.064,0.033,0.023,0.001,0.039,0.005,0.053,0.065,0.125,0.038,0.031,0.001,0.001,0.006,0.000,0.518,0.518
TCGA-BH-A0HA-01A,0.014,0.000,0.028,0.001,0.010,0.000,0.028,0.076,0.304,0.019,0.051,0.001,0.000,0.001,0.000,0.465,0.465
TCGA-A2-A3XS-01A,0.015,0.010,0.015,0.001,0.008,0.001,0.021,0.060,0.113,0.020,0.032,0.000,0.001,0.003,0.000,0.700,0.700
TCGA-A2-A0ES-01A,0.001,0.000,0.009,0.000,0.011,0.001,0.031,0.115,0.256,0.056,0.048,0.004,0.000,0.006,0.000,0.461,0.461
TCGA-B6-A0RN-01A,0.000,0.000,0.002,0.000,0.003,0.000,0.010,0.028,0.293,0.004,0.025,0.001,0.000,0.004,0.000,0.630,0.630
TCGA-BH-A2L8-01A,0.011,0.011,0.041,0.010,0.033,0.000,0.057,0.034,0.232,0.008,0.085,0.004,0.001,0.003,0.000,0.469,0.469
TCGA-E2-A108-01A,0.011,0.007,0.034,0.009,0.051,0.000,0.053,0.130,0.284,0.036,0.153,0.009,0.002,0.006,0.001,0.213,0.213
TCGA-AN-A046-01A,0.005,0.000,0.011,0.002,0.023,0.000,0.030,0.029,0.161,0.008,0.080,0.000,0.000,0.000,0.000,0.649,0.649
TCGA-E2-A576-01A,0.017,0.001,0.004,0.006,0.001,0.000,0.008,0.034,0.090,0.015,0.022,0.001,0.000,0.000,0.000,0.802,0.802
TCGA-A2-A3XX-01A,0.021,0.013,0.017,0.002,0.006,0.000,0.013,0.040,0.093,0.025,0.047,0.000,0.001,0.002,0.000,0.718,0.718
TCGA-C8-A137-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.023,0.129,0.000,0.021,0.000,0.000,0.003,0.000,0.819,0.819
TCGA-A7-A4SC-01A,0.007,0.001,0.002,0.003,0.020,0.001,0.019,0.106,0.248,0.035,0.041,0.005,0.000,0.007,0.000,0.504,0.504
TCGA-E2-A15M-01A,0.003,0.014,0.039,0.006,0.034,0.003,0.041,0.132,0.214,0.022,0.121,0.001,0.000,0.005,0.001,0.365,0.365
TCGA-A8-A08I-01A,0.037,0.001,0.020,0.050,0.056,0.000,0.041,0.013,0.048,0.002,0.165,0.000,0.001,0.010,0.001,0.555,0.555
TCGA-AC-A2FF-01A,0.020,0.010,0.023,0.002,0.019,0.001,0.041,0.151,0.315,0.037,0.066,0.009,0.000,0.005,0.001,0.300,0.300
TCGA-E2-A1L6-01A,0.005,0.001,0.005,0.006,0.001,0.000,0.028,0.058,0.197,0.025,0.056,0.004,0.000,0.009,0.000,0.604,0.604
TCGA-A7-A13E-01B,0.014,0.067,0.010,0.033,0.021,0.048,0.028,0.063,0.172,0.009,0.078,0.003,0.000,0.025,0.001,0.426,0.426
TCGA-AR-A24S-01A,0.000,0.001,0.023,0.002,0.001,0.000,0.019,0.058,0.212,0.022,0.211,0.000,0.000,0.006,0.000,0.445,0.445
TCGA-E2-A155-01A,0.004,0.000,0.001,0.000,0.002,0.000,0.001,0.021,0.040,0.002,0.019,0.000,0.000,0.006,0.000,0.903,0.903
TCGA-C8-A12M-01A,0.010,0.000,0.008,0.001,0.013,0.000,0.003,0.093,0.017,0.023,0.021,0.000,0.000,0.006,0.000,0.806,0.806
TCGA-E2-A14W-01A,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.075,0.000,0.020,0.000,0.000,0.001,0.000,0.894,0.894
TCGA-B6-A0RQ-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.014,0.074,0.124,0.038,0.025,0.003,0.000,0.004,0.000,0.712,0.712
TCGA-EW-A1IW-01A,0.000,0.006,0.013,0.001,0.013,0.000,0.022,0.062,0.192,0.029,0.053,0.001,0.000,0.008,0.000,0.599,0.599
TCGA-A1-A0SM-01A,0.001,0.000,0.001,0.004,0.000,0.000,0.002,0.041,0.272,0.010,0.078,0.003,0.000,0.004,0.000,0.584,0.584
TCGA-E9-A1R6-01A,0.005,0.000,0.003,0.003,0.000,0.000,0.002,0.024,0.128,0.017,0.045,0.000,0.000,0.007,0.000,0.766,0.766
TCGA-A2-A0CQ-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.013,0.025,0.077,0.018,0.098,0.000,0.000,0.003,0.000,0.763,0.763
TCGA-OL-A5D7-01A,0.013,0.025,0.036,0.031,0.026,0.000,0.042,0.018,0.040,0.001,0.079,0.000,0.001,0.001,0.000,0.685,0.685
TCGA-D8-A143-01A,0.020,0.001,0.025,0.001,0.012,0.000,0.012,0.048,0.047,0.009,0.044,0.000,0.000,0.004,0.000,0.777,0.777
TCGA-C8-A138-01A,0.016,0.000,0.014,0.026,0.027,0.000,0.033,0.055,0.204,0.035,0.081,0.002,0.000,0.003,0.000,0.504,0.504
TCGA-E2-A14Q-01A,0.005,0.000,0.012,0.002,0.007,0.001,0.018,0.053,0.141,0.023,0.020,0.002,0.000,0.003,0.000,0.714,0.714
TCGA-A2-A0YL-01A,0.001,0.001,0.012,0.002,0.017,0.001,0.029,0.099,0.285,0.031,0.040,0.002,0.000,0.006,0.000,0.474,0.474
TCGA-PL-A8LY-01A,0.003,0.000,0.003,0.000,0.005,0.000,0.026,0.053,0.041,0.034,0.029,0.000,0.000,0.003,0.000,0.802,0.802
TCGA-GM-A2DK-01A,0.003,0.000,0.002,0.000,0.006,0.000,0.011,0.133,0.145,0.045,0.078,0.000,0.000,0.001,0.000,0.574,0.574
TCGA-B6-A0RO-01A,0.019,0.000,0.001,0.000,0.008,0.000,0.001,0.026,0.061,0.006,0.034,0.000,0.000,0.001,0.000,0.842,0.842
TCGA-D8-A142-01A,0.025,0.001,0.012,0.000,0.013,0.000,0.013,0.061,0.245,0.013,0.077,0.000,0.000,0.001,0.000,0.538,0.538
TCGA-C8-A8HP-01A,0.055,0.001,0.024,0.013,0.025,0.000,0.021,0.033,0.090,0.031,0.093,0.000,0.002,0.003,0.001,0.609,0.609
TCGA-E9-A24A-01A,0.000,0.000,0.012,0.001,0.005,0.000,0.004,0.062,0.183,0.015,0.186,0.003,0.000,0.009,0.000,0.519,0.519
TCGA-AO-A0JE-01A,0.018,0.000,0.027,0.005,0.029,0.000,0.023,0.061,0.274,0.004,0.099,0.000,0.001,0.006,0.001,0.453,0.453
TCGA-AR-A1AU-01A,0.008,0.000,0.003,0.001,0.001,0.000,0.003,0.062,0.252,0.032,0.045,0.003,0.000,0.007,0.000,0.582,0.582
TCGA-E9-A1QZ-01A,0.008,0.028,0.025,0.005,0.032,0.007,0.048,0.090,0.175,0.036,0.062,0.006,0.001,0.006,0.000,0.470,0.470
TCGA-AR-A1AQ-01A,0.062,0.014,0.041,0.020,0.017,0.001,0.042,0.030,0.104,0.007,0.095,0.000,0.001,0.002,0.001,0.565,0.565
TCGA-A2-A25A-01A,0.007,0.003,0.012,0.005,0.015,0.002,0.032,0.210,0.287,0.052,0.055,0.010,0.001,0.006,0.001,0.302,0.302
TCGA-E2-A10E-01A,0.001,0.000,0.008,0.000,0.009,0.000,0.017,0.033,0.159,0.016,0.039,0.000,0.000,0.009,0.000,0.708,0.708
TCGA-C8-A3M7-01A,0.027,0.000,0.003,0.000,0.010,0.000,0.008,0.231,0.142,0.120,0.027,0.007,0.000,0.005,0.000,0.417,0.417
TCGA-AQ-A1H3-01A,0.004,0.003,0.014,0.001,0.018,0.001,0.033,0.083,0.225,0.043,0.043,0.000,0.000,0.008,0.000,0.523,0.523
TCGA-E9-A247-01A,0.000,0.000,0.003,0.000,0.002,0.000,0.001,0.019,0.089,0.014,0.021,0.000,0.000,0.002,0.000,0.850,0.850
TCGA-AN-A0FF-01A,0.010,0.000,0.019,0.003,0.012,0.000,0.022,0.061,0.121,0.023,0.104,0.001,0.000,0.006,0.000,0.615,0.615
TCGA-A2-A0YH-01A,0.017,0.000,0.024,0.008,0.017,0.000,0.002,0.022,0.165,0.011,0.172,0.000,0.000,0.006,0.000,0.555,0.555
TCGA-E9-A1RH-01A,0.004,0.000,0.000,0.008,0.001,0.000,0.000,0.014,0.175,0.000,0.059,0.000,0.000,0.005,0.000,0.734,0.734
TCGA-AR-A2LE-01A,0.000,0.000,0.000,0.000,0.001,0.004,0.009,0.068,0.091,0.016,0.026,0.001,0.000,0.001,0.000,0.784,0.784
TCGA-E9-A1N3-01A,0.010,0.000,0.004,0.000,0.002,0.000,0.000,0.033,0.043,0.018,0.045,0.000,0.000,0.005,0.000,0.840,0.840
TCGA-MS-A51U-01A,0.019,0.000,0.004,0.008,0.018,0.001,0.023,0.070,0.303,0.024,0.035,0.000,0.000,0.007,0.001,0.487,0.487
TCGA-A8-A07F-01A,0.000,0.000,0.010,0.001,0.014,0.000,0.007,0.036,0.159,0.014,0.081,0.003,0.000,0.011,0.000,0.663,0.663
TCGA-A8-A08A-01A,0.001,0.000,0.015,0.000,0.009,0.000,0.032,0.021,0.154,0.013,0.100,0.000,0.000,0.006,0.000,0.647,0.647
TCGA-D8-A1JE-01A,0.000,0.000,0.010,0.002,0.003,0.000,0.001,0.026,0.287,0.003,0.124,0.001,0.000,0.003,0.000,0.540,0.540
TCGA-LL-A6FR-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.266,0.000,0.041,0.000,0.000,0.000,0.000,0.675,0.675
TCGA-E9-A22D-01A,0.018,0.001,0.039,0.106,0.061,0.000,0.059,0.022,0.090,0.004,0.105,0.000,0.001,0.003,0.000,0.491,0.491
TCGA-A2-A0SX-01A,0.022,0.026,0.042,0.002,0.036,0.001,0.053,0.047,0.203,0.012,0.088,0.000,0.001,0.005,0.001,0.461,0.461
TCGA-EW-A1PH-01A,0.013,0.000,0.009,0.000,0.009,0.000,0.008,0.019,0.133,0.002,0.025,0.000,0.000,0.004,0.000,0.778,0.778
TCGA-AN-A0FK-01A,0.010,0.000,0.000,0.001,0.000,0.000,0.000,0.037,0.086,0.036,0.038,0.000,0.000,0.001,0.000,0.792,0.792
TCGA-A2-A0CX-01A,0.000,0.000,0.013,0.001,0.008,0.000,0.000,0.040,0.211,0.004,0.091,0.000,0.000,0.001,0.000,0.630,0.630
TCGA-E2-A158-01A,0.003,0.001,0.004,0.000,0.001,0.000,0.002,0.021,0.033,0.014,0.017,0.000,0.000,0.002,0.000,0.902,0.902
TCGA-D8-A1X6-01A,0.000,0.000,0.006,0.001,0.006,0.000,0.000,0.018,0.064,0.005,0.152,0.000,0.000,0.006,0.000,0.742,0.742
TCGA-EW-A1P7-01A,0.022,0.121,0.047,0.002,0.051,0.001,0.073,0.083,0.264,0.019,0.046,0.000,0.001,0.006,0.001,0.262,0.262
TCGA-B6-A0IG-01A,0.017,0.000,0.004,0.001,0.005,0.000,0.008,0.026,0.117,0.009,0.019,0.000,0.000,0.003,0.000,0.791,0.791
TCGA-A7-A4SA-01A,0.006,0.000,0.021,0.008,0.034,0.002,0.050,0.065,0.186,0.025,0.064,0.000,0.000,0.006,0.001,0.533,0.533
TCGA-D8-A1JP-01A,0.000,0.000,0.010,0.000,0.015,0.000,0.023,0.053,0.273,0.021,0.101,0.000,0.000,0.006,0.000,0.496,0.496
TCGA-C8-A1HN-01A,0.000,0.000,0.007,0.000,0.006,0.000,0.000,0.019,0.069,0.016,0.068,0.000,0.000,0.003,0.000,0.810,0.810
TCGA-D8-A1XK-01A,0.006,0.000,0.016,0.012,0.006,0.000,0.000,0.013,0.050,0.000,0.091,0.000,0.000,0.005,0.001,0.797,0.797
TCGA-E9-A22A-01A,0.005,0.000,0.023,0.006,0.016,0.000,0.014,0.042,0.377,0.013,0.109,0.002,0.000,0.002,0.000,0.391,0.391
TCGA-AO-A12H-01A,0.001,0.000,0.003,0.000,0.004,0.000,0.000,0.047,0.031,0.029,0.062,0.001,0.000,0.001,0.000,0.820,0.820
TCGA-D8-A1Y2-01A,0.013,0.001,0.022,0.001,0.025,0.000,0.000,0.039,0.292,0.003,0.259,0.000,0.000,0.001,0.000,0.343,0.343
TCGA-D8-A1XW-01A,0.007,0.000,0.017,0.000,0.003,0.000,0.037,0.068,0.086,0.037,0.180,0.000,0.000,0.006,0.000,0.557,0.557
TCGA-OL-A5RZ-01A,0.000,0.000,0.000,0.000,0.007,0.000,0.006,0.026,0.032,0.006,0.029,0.000,0.000,0.000,0.000,0.894,0.894
TCGA-BH-A42V-01A,0.014,0.001,0.011,0.001,0.010,0.007,0.042,0.135,0.221,0.048,0.028,0.004,0.001,0.005,0.001,0.473,0.473
TCGA-BH-A0B7-01A,0.009,0.011,0.019,0.009,0.023,0.005,0.037,0.101,0.184,0.016,0.071,0.000,0.001,0.006,0.001,0.508,0.508
TCGA-C8-A1HO-01A,0.021,0.000,0.005,0.003,0.002,0.000,0.000,0.026,0.075,0.007,0.032,0.000,0.000,0.005,0.000,0.825,0.825
TCGA-A8-A09A-01A,0.002,0.000,0.007,0.001,0.022,0.000,0.019,0.052,0.219,0.021,0.063,0.000,0.000,0.003,0.000,0.591,0.591
TCGA-AO-A129-01A,0.020,0.019,0.024,0.006,0.015,0.000,0.035,0.034,0.134,0.009,0.057,0.000,0.001,0.001,0.000,0.645,0.645
TCGA-AO-A03O-01A,0.009,0.000,0.020,0.012,0.009,0.000,0.011,0.020,0.062,0.006,0.060,0.000,0.000,0.003,0.000,0.787,0.787
TCGA-E2-A10A-01A,0.004,0.000,0.008,0.001,0.000,0.000,0.000,0.038,0.146,0.018,0.073,0.000,0.000,0.010,0.000,0.700,0.700
TCGA-A8-A09E-01A,0.003,0.000,0.001,0.001,0.000,0.000,0.000,0.027,0.078,0.004,0.029,0.000,0.000,0.002,0.000,0.854,0.854
TCGA-AC-A3YJ-01A,0.010,0.000,0.006,0.000,0.009,0.000,0.011,0.033,0.030,0.026,0.109,0.000,0.000,0.000,0.000,0.766,0.766
TCGA-EW-A1IX-01A,0.007,0.001,0.023,0.000,0.005,0.001,0.035,0.064,0.324,0.027,0.072,0.008,0.000,0.009,0.000,0.423,0.423
TCGA-A8-A09N-01A,0.004,0.000,0.006,0.008,0.011,0.000,0.002,0.024,0.127,0.003,0.044,0.003,0.000,0.005,0.000,0.762,0.762
TCGA-AO-A0J6-01A,0.001,0.000,0.016,0.035,0.005,0.000,0.004,0.009,0.036,0.000,0.061,0.000,0.000,0.004,0.000,0.830,0.830
TCGA-AN-A0FJ-01A,0.000,0.001,0.014,0.000,0.006,0.000,0.023,0.055,0.088,0.014,0.028,0.000,0.000,0.001,0.000,0.770,0.770
TCGA-BH-A1ES-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.007,0.025,0.192,0.003,0.020,0.000,0.000,0.005,0.000,0.739,0.739
TCGA-BH-A0E1-01A,0.010,0.000,0.001,0.002,0.000,0.000,0.003,0.070,0.134,0.044,0.026,0.003,0.000,0.002,0.000,0.704,0.704
TCGA-4H-AAAK-01A,0.000,0.000,0.020,0.000,0.003,0.000,0.017,0.032,0.354,0.009,0.061,0.004,0.000,0.002,0.000,0.498,0.498
TCGA-EW-A6S9-01A,0.009,0.000,0.013,0.002,0.000,0.000,0.000,0.033,0.198,0.017,0.064,0.004,0.000,0.007,0.000,0.653,0.653
TCGA-D8-A1JM-01A,0.000,0.000,0.009,0.000,0.015,0.000,0.000,0.015,0.010,0.014,0.013,0.000,0.000,0.002,0.000,0.920,0.920
TCGA-A7-A4SF-01A,0.005,0.000,0.004,0.022,0.007,0.000,0.011,0.013,0.062,0.012,0.051,0.001,0.000,0.005,0.000,0.808,0.808
TCGA-A8-A08R-01A,0.021,0.010,0.024,0.007,0.019,0.000,0.011,0.044,0.141,0.010,0.115,0.000,0.002,0.004,0.001,0.592,0.592
TCGA-D8-A146-01A,0.009,0.011,0.008,0.002,0.009,0.001,0.028,0.065,0.303,0.023,0.069,0.010,0.000,0.006,0.000,0.455,0.455
TCGA-D8-A1X5-01A,0.017,0.000,0.005,0.002,0.003,0.000,0.000,0.017,0.161,0.009,0.128,0.000,0.000,0.006,0.000,0.652,0.652
TCGA-A2-A1FV-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.002,0.089,0.109,0.038,0.015,0.007,0.000,0.007,0.000,0.730,0.730
TCGA-A2-A0CK-01A,0.005,0.000,0.004,0.000,0.011,0.000,0.017,0.097,0.201,0.029,0.048,0.000,0.000,0.001,0.000,0.587,0.587
TCGA-E2-A1IL-01A,0.007,0.000,0.002,0.002,0.008,0.000,0.004,0.064,0.202,0.033,0.050,0.000,0.000,0.013,0.000,0.614,0.614
TCGA-B6-A0X7-01A,0.001,0.000,0.004,0.000,0.001,0.000,0.006,0.099,0.231,0.026,0.030,0.006,0.000,0.005,0.000,0.588,0.588
TCGA-B6-A2IU-01A,0.004,0.000,0.002,0.001,0.001,0.000,0.012,0.055,0.076,0.034,0.027,0.001,0.000,0.007,0.000,0.781,0.781
TCGA-B6-A0WS-01A,0.017,0.001,0.040,0.002,0.030,0.000,0.048,0.056,0.203,0.017,0.051,0.000,0.001,0.005,0.000,0.528,0.528
TCGA-E2-A1IO-01A,0.006,0.002,0.019,0.003,0.034,0.000,0.039,0.069,0.354,0.020,0.042,0.001,0.000,0.006,0.000,0.404,0.404
TCGA-AC-A5EH-01A,0.000,0.000,0.020,0.003,0.011,0.000,0.002,0.028,0.221,0.002,0.106,0.000,0.000,0.002,0.000,0.604,0.604
TCGA-AC-A3BB-01A,0.012,0.011,0.023,0.002,0.024,0.011,0.066,0.102,0.284,0.036,0.069,0.003,0.001,0.006,0.001,0.347,0.347
TCGA-AR-A0TQ-01A,0.021,0.000,0.014,0.034,0.023,0.000,0.026,0.052,0.104,0.012,0.070,0.000,0.000,0.003,0.000,0.639,0.639
TCGA-D8-A1JK-01A,0.021,0.000,0.020,0.024,0.002,0.000,0.010,0.034,0.167,0.009,0.141,0.000,0.001,0.005,0.001,0.562,0.562
TCGA-D8-A1X7-01A,0.011,0.001,0.004,0.001,0.002,0.000,0.001,0.055,0.140,0.030,0.065,0.001,0.000,0.003,0.000,0.686,0.686
TCGA-AO-A1KQ-01A,0.013,0.001,0.007,0.015,0.029,0.000,0.014,0.015,0.114,0.009,0.050,0.001,0.000,0.001,0.000,0.731,0.731
TCGA-PL-A8LX-01A,0.010,0.000,0.005,0.000,0.006,0.000,0.000,0.070,0.003,0.039,0.079,0.000,0.000,0.004,0.000,0.784,0.784
TCGA-AR-A2LH-01A,0.015,0.014,0.029,0.002,0.023,0.004,0.069,0.130,0.123,0.030,0.056,0.000,0.002,0.006,0.001,0.496,0.496
TCGA-BH-A0B8-01A,0.001,0.000,0.002,0.000,0.003,0.000,0.006,0.038,0.127,0.023,0.037,0.003,0.000,0.004,0.000,0.754,0.754
TCGA-A2-A3KD-01A,0.028,0.000,0.002,0.002,0.004,0.001,0.006,0.062,0.152,0.033,0.058,0.001,0.000,0.003,0.000,0.647,0.647
TCGA-A2-A0D4-01A,0.000,0.000,0.001,0.005,0.000,0.000,0.000,0.060,0.024,0.028,0.026,0.000,0.000,0.004,0.000,0.851,0.851
TCGA-D8-A27R-01A,0.019,0.000,0.005,0.011,0.029,0.000,0.012,0.039,0.128,0.018,0.078,0.000,0.000,0.002,0.000,0.659,0.659
TCGA-E2-A1IE-01A,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.061,0.056,0.027,0.021,0.000,0.000,0.003,0.000,0.827,0.827
TCGA-EW-A1J3-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.005,0.022,0.117,0.020,0.048,0.006,0.000,0.006,0.000,0.775,0.775
TCGA-BH-A18Q-01A,0.006,0.000,0.007,0.019,0.010,0.000,0.027,0.073,0.082,0.023,0.036,0.000,0.001,0.006,0.001,0.707,0.707
TCGA-B6-A1KI-01A,0.001,0.000,0.004,0.000,0.003,0.000,0.002,0.143,0.163,0.062,0.021,0.001,0.000,0.006,0.000,0.594,0.594
TCGA-A7-A26G-01A,0.018,0.009,0.023,0.001,0.018,0.001,0.043,0.073,0.307,0.002,0.081,0.000,0.000,0.008,0.000,0.417,0.417
TCGA-AO-A03M-01B,0.017,0.001,0.025,0.030,0.023,0.000,0.037,0.040,0.089,0.008,0.067,0.000,0.001,0.003,0.001,0.659,0.659
TCGA-A2-A0CS-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.046,0.020,0.218,0.002,0.057,0.007,0.000,0.003,0.000,0.639,0.639
TCGA-C8-A12W-01A,0.049,0.000,0.013,0.002,0.009,0.000,0.001,0.031,0.211,0.009,0.109,0.000,0.000,0.002,0.000,0.562,0.562
TCGA-E2-A1IU-01A,0.021,0.008,0.008,0.001,0.007,0.000,0.013,0.061,0.085,0.021,0.050,0.001,0.000,0.008,0.000,0.716,0.716
TCGA-B6-A0I9-01A,0.012,0.000,0.006,0.000,0.009,0.000,0.001,0.022,0.064,0.004,0.053,0.000,0.000,0.004,0.000,0.824,0.824
TCGA-AO-A128-01A,0.029,0.004,0.035,0.134,0.039,0.000,0.031,0.037,0.068,0.003,0.219,0.000,0.001,0.014,0.001,0.386,0.386
TCGA-A7-A3J0-01A,0.017,0.000,0.019,0.000,0.017,0.000,0.011,0.024,0.013,0.038,0.053,0.000,0.000,0.004,0.000,0.802,0.802
TCGA-E9-A1NE-01A,0.011,0.020,0.026,0.043,0.065,0.001,0.064,0.083,0.194,0.015,0.069,0.001,0.001,0.008,0.001,0.400,0.400
TCGA-AC-A2FB-01A,0.006,0.018,0.044,0.002,0.059,0.002,0.112,0.103,0.135,0.028,0.035,0.011,0.001,0.008,0.001,0.435,0.435
TCGA-AR-A5QP-01A,0.014,0.000,0.009,0.001,0.008,0.000,0.022,0.060,0.250,0.015,0.044,0.000,0.000,0.006,0.000,0.572,0.572
TCGA-A2-A0T4-01A,0.005,0.000,0.013,0.005,0.013,0.000,0.031,0.094,0.279,0.023,0.085,0.011,0.000,0.005,0.001,0.436,0.436
TCGA-BH-A0BL-01A,0.002,0.011,0.032,0.006,0.019,0.000,0.045,0.071,0.301,0.030,0.091,0.000,0.001,0.007,0.001,0.383,0.383
TCGA-BH-A0HY-01A,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.041,0.150,0.015,0.022,0.000,0.000,0.002,0.000,0.766,0.766
TCGA-E9-A2JT-01A,0.015,0.287,0.080,0.014,0.087,0.025,0.047,0.107,0.108,0.032,0.049,0.001,0.003,0.012,0.002,0.132,0.132
TCGA-A7-A3IY-01A,0.006,0.000,0.008,0.001,0.004,0.000,0.020,0.053,0.161,0.030,0.141,0.001,0.000,0.001,0.000,0.575,0.575
TCGA-A8-A085-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.051,0.118,0.016,0.028,0.000,0.000,0.003,0.000,0.782,0.782
TCGA-AO-A12B-01A,0.035,0.000,0.000,0.000,0.007,0.000,0.000,0.020,0.020,0.057,0.028,0.000,0.000,0.001,0.000,0.831,0.831
TCGA-A8-A06Y-01A,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.018,0.032,0.011,0.000,0.000,0.002,0.000,0.890,0.890
TCGA-A8-A09I-01A,0.002,0.000,0.007,0.037,0.000,0.000,0.000,0.016,0.118,0.001,0.102,0.000,0.000,0.006,0.002,0.709,0.709
TCGA-A8-A0A2-01A,0.009,0.000,0.005,0.001,0.010,0.000,0.013,0.041,0.179,0.007,0.064,0.001,0.000,0.007,0.000,0.661,0.661
TCGA-AC-A2FE-01A,0.006,0.000,0.024,0.003,0.047,0.002,0.049,0.090,0.247,0.018,0.086,0.001,0.001,0.006,0.001,0.419,0.419
TCGA-A7-A13D-01B,0.018,0.015,0.017,0.037,0.002,0.001,0.004,0.055,0.229,0.030,0.027,0.013,0.009,0.018,0.003,0.521,0.521
TCGA-A8-A08J-01A,0.011,0.000,0.012,0.000,0.007,0.000,0.000,0.025,0.141,0.007,0.092,0.000,0.000,0.004,0.000,0.700,0.700
TCGA-5T-A9QA-01A,0.010,0.000,0.001,0.004,0.003,0.000,0.000,0.017,0.000,0.011,0.045,0.000,0.000,0.000,0.000,0.909,0.909
TCGA-A1-A0SQ-01A,0.010,0.000,0.008,0.000,0.004,0.000,0.004,0.062,0.046,0.026,0.068,0.000,0.000,0.002,0.000,0.769,0.769
TCGA-AC-A3QP-01A,0.010,0.000,0.005,0.001,0.006,0.000,0.038,0.063,0.248,0.013,0.109,0.001,0.000,0.001,0.000,0.503,0.503
TCGA-D8-A1JB-01A,0.019,0.026,0.028,0.002,0.046,0.000,0.055,0.087,0.154,0.020,0.061,0.004,0.001,0.004,0.000,0.492,0.492
TCGA-BH-A18S-01A,0.014,0.000,0.001,0.000,0.008,0.000,0.002,0.027,0.051,0.019,0.069,0.000,0.000,0.002,0.000,0.807,0.807
TCGA-A2-A0CW-01A,0.001,0.000,0.001,0.019,0.012,0.000,0.016,0.024,0.042,0.014,0.046,0.000,0.000,0.005,0.000,0.819,0.819
