,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-A5-A0R8-01A,0.022,0.000,0.010,0.004,0.004,0.000,0.033,0.057,0.037,0.020,0.031,0.000,0.001,0.006,0.000,0.775,0.775
TCGA-A5-A0G3-01A,0.019,0.000,0.010,0.006,0.001,0.004,0.012,0.030,0.064,0.023,0.022,0.000,0.001,0.005,0.000,0.803,0.803
TCGA-AP-A054-01A,0.000,0.000,0.035,0.009,0.040,0.001,0.003,0.028,0.041,0.015,0.004,0.001,0.000,0.003,0.003,0.816,0.816
TCGA-A5-A0GX-01A,0.035,0.000,0.014,0.003,0.016,0.001,0.010,0.067,0.171,0.028,0.031,0.000,0.000,0.001,0.000,0.622,0.622
TCGA-DI-A2QY-01A,0.009,0.000,0.004,0.001,0.001,0.000,0.004,0.024,0.047,0.003,0.006,0.000,0.000,0.000,0.000,0.900,0.900
TCGA-EY-A1GC-01A,0.064,0.000,0.058,0.006,0.011,0.000,0.011,0.023,0.004,0.002,0.125,0.000,0.000,0.000,0.000,0.693,0.693
TCGA-A5-A0GI-01A,0.015,0.000,0.028,0.002,0.001,0.000,0.010,0.027,0.028,0.009,0.012,0.000,0.000,0.001,0.000,0.866,0.866
TCGA-D1-A17S-01A,0.026,0.000,0.000,0.000,0.000,0.000,0.005,0.019,0.008,0.000,0.018,0.000,0.000,0.000,0.000,0.922,0.922
TCGA-EY-A5W2-01A,0.019,0.000,0.006,0.010,0.001,0.000,0.000,0.008,0.016,0.005,0.028,0.000,0.000,0.000,0.000,0.907,0.907
TCGA-D1-A1NU-01A,0.011,0.000,0.012,0.007,0.000,0.001,0.003,0.030,0.020,0.001,0.026,0.000,0.000,0.004,0.000,0.884,0.884
TCGA-BG-A18A-01A,0.018,0.000,0.010,0.006,0.006,0.000,0.012,0.080,0.106,0.029,0.021,0.000,0.003,0.003,0.000,0.704,0.704
TCGA-AX-A06B-01A,0.025,0.000,0.025,0.006,0.010,0.000,0.009,0.064,0.109,0.019,0.047,0.001,0.000,0.001,0.000,0.682,0.682
TCGA-E6-A2P9-01A,0.017,0.000,0.017,0.015,0.014,0.000,0.006,0.022,0.006,0.000,0.014,0.000,0.000,0.003,0.000,0.886,0.886
TCGA-PG-A917-01A,0.023,0.000,0.032,0.048,0.001,0.000,0.006,0.038,0.021,0.001,0.078,0.000,0.000,0.000,0.000,0.751,0.751
TCGA-AX-A3FS-01A,0.000,0.000,0.015,0.006,0.001,0.000,0.000,0.036,0.071,0.059,0.008,0.000,0.000,0.000,0.001,0.802,0.802
TCGA-A5-A2K4-01A,0.010,0.001,0.007,0.008,0.003,0.000,0.008,0.069,0.065,0.002,0.020,0.000,0.000,0.005,0.000,0.801,0.801
TCGA-D1-A1O0-01A,0.012,0.000,0.007,0.014,0.001,0.000,0.000,0.033,0.016,0.008,0.025,0.001,0.000,0.001,0.000,0.880,0.880
TCGA-B5-A0JS-01A,0.032,0.000,0.019,0.004,0.000,0.000,0.022,0.042,0.032,0.003,0.023,0.000,0.011,0.000,0.000,0.811,0.811
TCGA-AX-A1CE-01A,0.009,0.000,0.004,0.004,0.002,0.000,0.000,0.014,0.005,0.000,0.015,0.000,0.000,0.001,0.000,0.946,0.946
TCGA-D1-A17F-01A,0.017,0.000,0.009,0.010,0.000,0.000,0.023,0.033,0.007,0.000,0.054,0.000,0.000,0.000,0.000,0.846,0.846
TCGA-EO-A3AV-01A,0.041,0.000,0.020,0.067,0.000,0.000,0.005,0.022,0.015,0.004,0.048,0.000,0.000,0.009,0.000,0.767,0.767
TCGA-D1-A17B-01A,0.048,0.001,0.050,0.007,0.013,0.000,0.040,0.072,0.078,0.009,0.101,0.001,0.002,0.027,0.000,0.550,0.550
TCGA-E6-A8L9-01A,0.006,0.000,0.013,0.030,0.014,0.003,0.003,0.050,0.062,0.021,0.030,0.000,0.013,0.003,0.000,0.751,0.751
TCGA-EY-A547-01A,0.016,0.000,0.014,0.001,0.003,0.001,0.001,0.020,0.011,0.009,0.027,0.000,0.003,0.000,0.000,0.894,0.894
TCGA-AJ-A3OJ-01A,0.004,0.000,0.004,0.020,0.001,0.000,0.000,0.021,0.027,0.000,0.050,0.000,0.000,0.002,0.000,0.870,0.870
TCGA-BS-A0TJ-01A,0.008,0.000,0.019,0.013,0.002,0.000,0.002,0.029,0.054,0.011,0.016,0.000,0.000,0.003,0.000,0.843,0.843
TCGA-BG-A0VV-01A,0.020,0.000,0.012,0.001,0.000,0.000,0.018,0.041,0.028,0.000,0.022,0.000,0.000,0.000,0.000,0.858,0.858
TCGA-D1-A16V-01A,0.022,0.000,0.027,0.020,0.000,0.000,0.009,0.028,0.010,0.005,0.034,0.000,0.000,0.003,0.000,0.840,0.840
TCGA-EO-A22R-01A,0.006,0.000,0.019,0.013,0.001,0.000,0.001,0.031,0.028,0.000,0.040,0.000,0.000,0.004,0.000,0.858,0.858
TCGA-BG-A0MH-01A,0.042,0.002,0.024,0.016,0.014,0.001,0.023,0.060,0.123,0.016,0.061,0.001,0.001,0.003,0.000,0.612,0.612
TCGA-EO-A3KX-01A,0.005,0.000,0.008,0.010,0.001,0.000,0.000,0.023,0.010,0.000,0.008,0.000,0.000,0.002,0.000,0.934,0.934
TCGA-AX-A0IS-01A,0.009,0.000,0.004,0.000,0.000,0.000,0.004,0.023,0.047,0.007,0.009,0.000,0.000,0.000,0.000,0.895,0.895
TCGA-EY-A1G8-01A,0.006,0.000,0.005,0.003,0.001,0.000,0.000,0.025,0.004,0.000,0.008,0.000,0.000,0.000,0.000,0.948,0.948
TCGA-EY-A1GW-01A,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.002,0.006,0.000,0.000,0.000,0.000,0.926,0.926
TCGA-BG-A0RY-01A,0.006,0.000,0.003,0.000,0.000,0.000,0.033,0.019,0.005,0.000,0.029,0.000,0.000,0.004,0.000,0.900,0.900
TCGA-D1-A1NY-01A,0.009,0.000,0.018,0.009,0.001,0.000,0.006,0.037,0.079,0.009,0.017,0.000,0.000,0.002,0.000,0.812,0.812
TCGA-B5-A3S1-01A,0.007,0.002,0.020,0.004,0.004,0.000,0.007,0.023,0.040,0.000,0.032,0.000,0.000,0.002,0.000,0.857,0.857
TCGA-A5-A2K5-01A,0.012,0.000,0.016,0.006,0.001,0.000,0.000,0.010,0.013,0.004,0.059,0.000,0.000,0.000,0.000,0.879,0.879
TCGA-AX-A062-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.001,0.030,0.059,0.000,0.005,0.000,0.000,0.000,0.000,0.902,0.902
TCGA-A5-A0G5-01A,0.111,0.000,0.053,0.087,0.024,0.000,0.012,0.032,0.013,0.020,0.140,0.001,0.000,0.002,0.000,0.504,0.504
TCGA-AP-A0LH-01A,0.005,0.000,0.012,0.005,0.000,0.000,0.010,0.017,0.014,0.000,0.012,0.000,0.000,0.000,0.000,0.924,0.924
TCGA-BS-A0WQ-01A,0.002,0.000,0.002,0.000,0.001,0.000,0.001,0.023,0.015,0.002,0.010,0.000,0.000,0.000,0.000,0.944,0.944
TCGA-FI-A2EY-01A,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.011,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.980,0.980
TCGA-EY-A549-01A,0.022,0.000,0.010,0.002,0.009,0.000,0.010,0.026,0.006,0.006,0.021,0.000,0.000,0.002,0.000,0.885,0.885
TCGA-FI-A2D0-01A,0.003,0.000,0.020,0.018,0.000,0.000,0.003,0.059,0.039,0.002,0.001,0.000,0.000,0.009,0.000,0.846,0.846
TCGA-BS-A0V7-01A,0.024,0.000,0.010,0.001,0.002,0.006,0.015,0.071,0.423,0.044,0.045,0.000,0.002,0.002,0.000,0.353,0.353
TCGA-B5-A1MW-01A,0.000,0.000,0.008,0.001,0.000,0.000,0.003,0.046,0.003,0.000,0.004,0.000,0.000,0.003,0.000,0.931,0.931
TCGA-D1-A17D-01A,0.023,0.000,0.006,0.002,0.001,0.000,0.015,0.027,0.015,0.001,0.030,0.000,0.000,0.005,0.000,0.874,0.874
TCGA-BS-A0TA-01A,0.026,0.000,0.027,0.164,0.066,0.000,0.018,0.021,0.019,0.006,0.111,0.001,0.000,0.000,0.000,0.540,0.540
TCGA-AX-A05Z-01A,0.033,0.000,0.027,0.040,0.011,0.000,0.022,0.012,0.025,0.000,0.064,0.000,0.000,0.000,0.000,0.765,0.765
TCGA-D1-A17L-01A,0.040,0.000,0.001,0.007,0.002,0.000,0.024,0.041,0.009,0.006,0.033,0.000,0.000,0.000,0.000,0.837,0.837
TCGA-A5-A0GQ-01A,0.028,0.000,0.008,0.000,0.003,0.000,0.038,0.059,0.009,0.000,0.037,0.000,0.000,0.012,0.000,0.804,0.804
TCGA-AX-A3G1-01A,0.098,0.000,0.026,0.026,0.012,0.000,0.004,0.043,0.011,0.001,0.031,0.000,0.000,0.004,0.000,0.743,0.743
TCGA-BK-A0CC-01A,0.006,0.000,0.003,0.016,0.000,0.002,0.002,0.056,0.046,0.024,0.027,0.013,0.001,0.028,0.012,0.763,0.763
TCGA-D1-A1O8-01A,0.095,0.000,0.070,0.053,0.034,0.000,0.021,0.023,0.073,0.011,0.114,0.001,0.000,0.003,0.000,0.501,0.501
TCGA-DI-A1NN-01A,0.001,0.002,0.032,0.009,0.001,0.001,0.041,0.041,0.034,0.003,0.093,0.000,0.000,0.001,0.000,0.741,0.741
TCGA-B5-A0K9-01A,0.014,0.000,0.021,0.019,0.002,0.001,0.014,0.026,0.032,0.004,0.029,0.000,0.000,0.009,0.000,0.828,0.828
TCGA-FI-A2CY-01A,0.004,0.000,0.032,0.022,0.000,0.000,0.042,0.031,0.004,0.001,0.106,0.000,0.000,0.003,0.000,0.754,0.754
TCGA-AP-A1DR-01A,0.003,0.000,0.002,0.007,0.000,0.000,0.001,0.017,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.957,0.957
TCGA-B5-A11Q-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.017,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.980,0.980
TCGA-BS-A0U7-01A,0.022,0.000,0.018,0.013,0.003,0.000,0.006,0.056,0.053,0.028,0.037,0.000,0.000,0.009,0.000,0.754,0.754
TCGA-A5-A0VQ-01A,0.014,0.000,0.008,0.000,0.000,0.000,0.015,0.032,0.024,0.020,0.004,0.000,0.000,0.002,0.000,0.880,0.880
TCGA-BS-A0TE-01A,0.003,0.000,0.013,0.013,0.004,0.000,0.010,0.019,0.010,0.007,0.023,0.000,0.000,0.000,0.000,0.897,0.897
TCGA-BS-A0T9-01A,0.008,0.000,0.009,0.001,0.012,0.000,0.009,0.027,0.171,0.020,0.020,0.000,0.000,0.002,0.000,0.719,0.719
TCGA-AW-A1PO-01A,0.006,0.000,0.013,0.009,0.000,0.000,0.000,0.029,0.003,0.000,0.013,0.000,0.000,0.004,0.000,0.923,0.923
TCGA-AJ-A3I9-01A,0.005,0.000,0.006,0.000,0.001,0.000,0.000,0.014,0.011,0.000,0.027,0.000,0.000,0.000,0.000,0.937,0.937
TCGA-AJ-A8CV-01A,0.011,0.000,0.029,0.022,0.006,0.000,0.011,0.036,0.020,0.007,0.052,0.000,0.000,0.003,0.000,0.801,0.801
TCGA-B5-A121-01A,0.014,0.000,0.011,0.003,0.009,0.000,0.009,0.046,0.034,0.001,0.021,0.000,0.000,0.002,0.000,0.850,0.850
TCGA-AX-A1CN-01A,0.003,0.000,0.011,0.002,0.000,0.000,0.000,0.026,0.057,0.006,0.011,0.000,0.000,0.001,0.000,0.882,0.882
TCGA-BK-A139-01A,0.013,0.005,0.036,0.040,0.000,0.001,0.012,0.074,0.006,0.010,0.104,0.002,0.000,0.022,0.000,0.676,0.676
TCGA-EY-A1G7-01A,0.000,0.000,0.007,0.005,0.000,0.000,0.000,0.032,0.023,0.000,0.020,0.000,0.000,0.003,0.000,0.908,0.908
TCGA-BK-A6W3-01A,0.013,0.000,0.036,0.039,0.000,0.000,0.015,0.060,0.022,0.000,0.052,0.001,0.000,0.005,0.000,0.756,0.756
TCGA-FI-A2CX-01A,0.096,0.005,0.086,0.005,0.047,0.000,0.040,0.048,0.004,0.011,0.547,0.001,0.006,0.007,0.001,0.096,0.096
TCGA-DI-A2QU-01A,0.010,0.000,0.003,0.000,0.000,0.000,0.005,0.023,0.015,0.000,0.026,0.000,0.000,0.000,0.000,0.918,0.918
TCGA-AP-A0LT-01A,0.007,0.000,0.009,0.008,0.000,0.000,0.000,0.000,0.002,0.000,0.007,0.000,0.000,0.000,0.000,0.967,0.967
TCGA-EO-A3AS-01A,0.034,0.000,0.008,0.000,0.005,0.000,0.008,0.040,0.074,0.001,0.037,0.000,0.000,0.006,0.000,0.785,0.785
TCGA-E6-A1LZ-01A,0.015,0.000,0.007,0.015,0.000,0.000,0.000,0.026,0.000,0.009,0.028,0.000,0.000,0.001,0.000,0.898,0.898
TCGA-AP-A1DO-01A,0.005,0.000,0.008,0.011,0.001,0.000,0.000,0.014,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.958,0.958
TCGA-AX-A2HC-01A,0.002,0.000,0.000,0.001,0.001,0.000,0.000,0.025,0.003,0.001,0.015,0.000,0.000,0.001,0.000,0.951,0.951
TCGA-EC-A1QX-01A,0.010,0.000,0.008,0.049,0.000,0.000,0.006,0.037,0.045,0.002,0.025,0.000,0.000,0.007,0.000,0.810,0.810
TCGA-A5-A0GB-01A,0.004,0.000,0.004,0.011,0.000,0.000,0.000,0.012,0.000,0.004,0.006,0.000,0.000,0.000,0.000,0.960,0.960
TCGA-B5-A11Y-01A,0.025,0.000,0.030,0.054,0.002,0.000,0.008,0.061,0.011,0.000,0.087,0.000,0.000,0.005,0.000,0.715,0.715
TCGA-AJ-A3IA-01A,0.007,0.001,0.026,0.010,0.009,0.000,0.016,0.049,0.118,0.013,0.052,0.000,0.000,0.003,0.000,0.694,0.694
TCGA-D1-A1NS-01A,0.011,0.000,0.005,0.000,0.001,0.000,0.020,0.035,0.008,0.000,0.011,0.000,0.000,0.004,0.000,0.904,0.904
TCGA-AX-A2H2-01A,0.046,0.000,0.032,0.018,0.004,0.001,0.013,0.026,0.013,0.012,0.031,0.000,0.000,0.002,0.000,0.802,0.802
TCGA-D1-A162-01A,0.019,0.000,0.014,0.001,0.003,0.000,0.014,0.042,0.032,0.006,0.047,0.000,0.000,0.005,0.000,0.814,0.814
TCGA-AP-A0LG-01A,0.005,0.000,0.008,0.001,0.000,0.000,0.006,0.026,0.000,0.006,0.005,0.000,0.000,0.000,0.000,0.943,0.943
TCGA-DF-A2KN-01A,0.015,0.000,0.031,0.033,0.023,0.000,0.011,0.045,0.038,0.008,0.108,0.001,0.000,0.005,0.000,0.680,0.680
TCGA-AX-A1C4-01A,0.002,0.000,0.000,0.005,0.000,0.000,0.000,0.013,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.976
TCGA-AJ-A3EJ-01A,0.013,0.000,0.023,0.001,0.000,0.000,0.001,0.038,0.102,0.007,0.054,0.000,0.000,0.005,0.000,0.755,0.755
TCGA-BK-A26L-01C,0.001,0.010,0.031,0.035,0.003,0.020,0.010,0.082,0.147,0.029,0.045,0.028,0.001,0.034,0.001,0.522,0.522
TCGA-A5-A2K3-01A,0.207,0.001,0.085,0.108,0.046,0.000,0.025,0.017,0.016,0.005,0.227,0.001,0.001,0.001,0.001,0.259,0.259
TCGA-AP-A05H-01A,0.011,0.000,0.007,0.003,0.000,0.003,0.002,0.008,0.121,0.033,0.005,0.000,0.000,0.001,0.000,0.807,0.807
TCGA-AX-A3FV-01A,0.004,0.000,0.007,0.012,0.022,0.002,0.000,0.029,0.000,0.010,0.021,0.002,0.000,0.003,0.000,0.888,0.888
TCGA-D1-A16F-01A,0.007,0.000,0.009,0.007,0.005,0.001,0.030,0.077,0.073,0.024,0.010,0.000,0.001,0.010,0.000,0.745,0.745
TCGA-JU-AAVI-01A,0.020,0.000,0.002,0.060,0.002,0.000,0.003,0.014,0.023,0.000,0.052,0.000,0.000,0.000,0.000,0.824,0.824
TCGA-AX-A06L-01A,0.028,0.001,0.028,0.029,0.003,0.012,0.032,0.057,0.123,0.016,0.029,0.013,0.006,0.006,0.001,0.616,0.616
TCGA-BG-A3PP-01A,0.005,0.000,0.005,0.004,0.001,0.000,0.000,0.013,0.068,0.004,0.020,0.000,0.000,0.000,0.000,0.880,0.880
TCGA-B5-A1MU-01A,0.008,0.000,0.023,0.017,0.014,0.000,0.006,0.050,0.201,0.002,0.100,0.001,0.000,0.005,0.001,0.571,0.571
TCGA-A5-A0RA-01A,0.012,0.000,0.011,0.002,0.000,0.000,0.025,0.040,0.015,0.005,0.013,0.000,0.000,0.002,0.000,0.874,0.874
TCGA-BG-A0MK-01A,0.020,0.000,0.017,0.003,0.005,0.000,0.015,0.058,0.056,0.017,0.022,0.000,0.001,0.005,0.000,0.780,0.780
TCGA-EO-A3L0-01A,0.005,0.000,0.018,0.004,0.001,0.000,0.007,0.053,0.035,0.009,0.005,0.000,0.000,0.002,0.000,0.861,0.861
TCGA-B5-A3F9-01A,0.013,0.000,0.013,0.002,0.006,0.000,0.002,0.034,0.062,0.000,0.052,0.000,0.000,0.000,0.000,0.815,0.815
TCGA-AJ-A2QO-01A,0.013,0.000,0.003,0.005,0.000,0.000,0.000,0.016,0.004,0.005,0.031,0.000,0.000,0.003,0.000,0.920,0.920
TCGA-D1-A0ZO-01A,0.013,0.000,0.027,0.009,0.011,0.000,0.019,0.076,0.096,0.027,0.022,0.000,0.000,0.003,0.000,0.696,0.696
TCGA-AP-A1DM-01A,0.008,0.000,0.018,0.010,0.001,0.000,0.000,0.020,0.037,0.011,0.000,0.000,0.000,0.002,0.000,0.891,0.891
TCGA-SL-A6JA-01A,0.016,0.000,0.003,0.001,0.001,0.000,0.000,0.014,0.000,0.004,0.016,0.000,0.000,0.000,0.000,0.945,0.945
TCGA-EO-A22T-01A,0.012,0.000,0.030,0.043,0.001,0.001,0.003,0.058,0.040,0.020,0.060,0.001,0.001,0.006,0.000,0.724,0.724
TCGA-B5-A11V-01A,0.018,0.000,0.016,0.000,0.002,0.000,0.007,0.047,0.049,0.025,0.007,0.000,0.000,0.001,0.000,0.827,0.827
TCGA-AP-A051-01A,0.013,0.000,0.028,0.002,0.011,0.000,0.001,0.027,0.021,0.012,0.046,0.000,0.000,0.003,0.000,0.834,0.834
TCGA-AJ-A2QL-01A,0.013,0.000,0.015,0.021,0.000,0.000,0.028,0.034,0.019,0.000,0.074,0.000,0.008,0.002,0.000,0.784,0.784
TCGA-BS-A0TC-01A,0.020,0.000,0.002,0.001,0.001,0.000,0.005,0.020,0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.939,0.939
TCGA-B5-A1MS-01B,0.005,0.000,0.001,0.015,0.004,0.000,0.005,0.040,0.033,0.016,0.012,0.000,0.002,0.003,0.000,0.864,0.864
TCGA-A5-A0R9-01A,0.020,0.000,0.010,0.001,0.006,0.000,0.012,0.039,0.093,0.010,0.025,0.000,0.000,0.000,0.000,0.784,0.784
TCGA-A5-A0GV-01A,0.008,0.000,0.001,0.000,0.001,0.000,0.002,0.019,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.964,0.964
TCGA-B5-A1MZ-01A,0.013,0.000,0.016,0.000,0.000,0.000,0.027,0.037,0.075,0.000,0.017,0.000,0.000,0.002,0.000,0.811,0.811
TCGA-D1-A1NW-01A,0.018,0.000,0.008,0.017,0.004,0.002,0.010,0.027,0.039,0.006,0.021,0.000,0.003,0.002,0.000,0.844,0.844
TCGA-AX-A2HF-01A,0.010,0.000,0.019,0.009,0.016,0.002,0.000,0.013,0.015,0.003,0.038,0.000,0.000,0.002,0.000,0.872,0.872
TCGA-A5-A2K2-01A,0.003,0.000,0.001,0.005,0.000,0.000,0.000,0.031,0.000,0.000,0.023,0.000,0.000,0.004,0.000,0.933,0.933
TCGA-D1-A102-01A,0.015,0.000,0.040,0.002,0.014,0.000,0.006,0.046,0.085,0.005,0.053,0.001,0.000,0.004,0.000,0.729,0.729
TCGA-BS-A0UL-01A,0.026,0.000,0.025,0.010,0.021,0.000,0.018,0.124,0.216,0.069,0.034,0.001,0.001,0.003,0.000,0.453,0.453
TCGA-BG-A0MA-01A,0.018,0.000,0.014,0.001,0.006,0.000,0.007,0.053,0.090,0.031,0.016,0.001,0.000,0.000,0.000,0.762,0.762
TCGA-EO-A1Y5-01A,0.011,0.000,0.030,0.022,0.016,0.000,0.024,0.030,0.035,0.010,0.073,0.001,0.001,0.002,0.000,0.746,0.746
TCGA-EY-A1GL-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.005,0.021,0.082,0.001,0.003,0.000,0.000,0.001,0.001,0.882,0.882
TCGA-A5-A2K7-01A,0.008,0.000,0.005,0.008,0.000,0.000,0.003,0.019,0.026,0.010,0.033,0.000,0.000,0.000,0.000,0.887,0.887
TCGA-EO-A2CH-01A,0.003,0.000,0.004,0.005,0.000,0.000,0.007,0.023,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.944,0.944
TCGA-A5-A3LO-01A,0.000,0.000,0.019,0.007,0.000,0.000,0.004,0.031,0.022,0.012,0.008,0.000,0.000,0.009,0.000,0.887,0.887
TCGA-EO-A3B1-01A,0.012,0.000,0.039,0.011,0.010,0.000,0.016,0.088,0.072,0.011,0.054,0.000,0.000,0.007,0.000,0.679,0.679
TCGA-AJ-A3NC-01A,0.004,0.000,0.012,0.000,0.002,0.000,0.000,0.041,0.016,0.008,0.015,0.000,0.000,0.010,0.000,0.890,0.890
TCGA-B5-A11U-01A,0.003,0.000,0.015,0.005,0.003,0.000,0.001,0.163,0.251,0.045,0.016,0.000,0.000,0.005,0.000,0.493,0.493
TCGA-D1-A168-01A,0.002,0.000,0.004,0.000,0.000,0.000,0.004,0.036,0.176,0.022,0.010,0.000,0.000,0.004,0.000,0.741,0.741
TCGA-AP-A0LV-01A,0.007,0.000,0.011,0.009,0.001,0.000,0.013,0.048,0.117,0.014,0.022,0.000,0.000,0.000,0.000,0.756,0.756
TCGA-A5-A0VP-01A,0.018,0.000,0.006,0.012,0.000,0.000,0.004,0.037,0.004,0.000,0.014,0.000,0.000,0.006,0.000,0.899,0.899
TCGA-BK-A0C9-01A,0.027,0.000,0.029,0.013,0.001,0.000,0.009,0.028,0.027,0.009,0.028,0.000,0.000,0.002,0.000,0.825,0.825
TCGA-D1-A16N-01A,0.014,0.000,0.016,0.002,0.016,0.000,0.002,0.036,0.036,0.015,0.048,0.000,0.000,0.007,0.000,0.806,0.806
TCGA-K6-A3WQ-01A,0.011,0.000,0.004,0.006,0.000,0.000,0.002,0.014,0.067,0.025,0.012,0.000,0.000,0.001,0.000,0.858,0.858
TCGA-D1-A3JP-01A,0.009,0.001,0.029,0.001,0.022,0.000,0.030,0.039,0.047,0.001,0.077,0.006,0.000,0.003,0.000,0.734,0.734
TCGA-QS-A744-01A,0.002,0.000,0.008,0.000,0.000,0.001,0.001,0.035,0.055,0.002,0.002,0.000,0.000,0.006,0.000,0.888,0.888
TCGA-BK-A4ZD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.012,0.000,0.010,0.000,0.000,0.000,0.000,0.957,0.957
TCGA-AJ-A2QM-01A,0.006,0.000,0.011,0.007,0.000,0.000,0.002,0.037,0.049,0.007,0.022,0.000,0.000,0.007,0.000,0.853,0.853
TCGA-FI-A2F8-01A,0.006,0.000,0.010,0.006,0.002,0.000,0.008,0.052,0.042,0.019,0.012,0.000,0.000,0.004,0.000,0.839,0.839
TCGA-AX-A1CA-01A,0.023,0.001,0.010,0.019,0.007,0.003,0.012,0.036,0.044,0.017,0.025,0.001,0.001,0.003,0.000,0.799,0.799
TCGA-EY-A1GQ-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.021,0.036,0.012,0.000,0.000,0.000,0.000,0.857,0.857
TCGA-DI-A1BY-01A,0.039,0.000,0.019,0.006,0.000,0.000,0.010,0.051,0.136,0.024,0.008,0.000,0.000,0.001,0.000,0.707,0.707
TCGA-BG-A2AD-01A,0.000,0.000,0.010,0.001,0.000,0.000,0.000,0.030,0.040,0.000,0.008,0.000,0.000,0.006,0.000,0.903,0.903
TCGA-EO-A3B0-01A,0.017,0.000,0.036,0.008,0.012,0.000,0.000,0.018,0.043,0.013,0.093,0.000,0.000,0.002,0.000,0.757,0.757
TCGA-D1-A16X-01A,0.058,0.000,0.044,0.028,0.021,0.000,0.027,0.033,0.034,0.001,0.061,0.000,0.000,0.004,0.000,0.687,0.687
TCGA-EY-A1H0-01A,0.008,0.000,0.009,0.000,0.000,0.000,0.004,0.022,0.008,0.000,0.000,0.000,0.000,0.002,0.000,0.946,0.946
TCGA-B5-A3FD-01A,0.003,0.000,0.010,0.001,0.002,0.000,0.005,0.035,0.038,0.006,0.028,0.000,0.000,0.000,0.000,0.871,0.871
TCGA-BG-A0YU-01A,0.019,0.000,0.002,0.001,0.001,0.000,0.006,0.044,0.029,0.013,0.007,0.000,0.000,0.000,0.000,0.878,0.878
TCGA-EO-A3AY-01A,0.017,0.000,0.026,0.022,0.000,0.000,0.007,0.014,0.013,0.000,0.031,0.000,0.000,0.000,0.000,0.870,0.870
TCGA-EY-A548-01A,0.024,0.000,0.003,0.003,0.000,0.000,0.002,0.020,0.011,0.000,0.046,0.000,0.000,0.000,0.000,0.889,0.889
TCGA-D1-A16E-01A,0.015,0.000,0.011,0.008,0.005,0.000,0.015,0.048,0.028,0.013,0.057,0.000,0.001,0.006,0.000,0.792,0.792
TCGA-AJ-A3NE-01A,0.002,0.000,0.025,0.027,0.008,0.000,0.009,0.038,0.027,0.000,0.019,0.000,0.000,0.007,0.000,0.838,0.838
TCGA-BS-A0TD-01A,0.009,0.000,0.002,0.002,0.000,0.000,0.015,0.042,0.011,0.004,0.007,0.000,0.001,0.001,0.000,0.905,0.905
TCGA-EY-A2ON-01A,0.011,0.000,0.001,0.006,0.000,0.000,0.004,0.058,0.003,0.011,0.045,0.000,0.000,0.004,0.000,0.857,0.857
TCGA-D1-A0ZP-01A,0.001,0.000,0.029,0.004,0.006,0.000,0.014,0.051,0.053,0.008,0.023,0.001,0.000,0.004,0.000,0.805,0.805
TCGA-EY-A1GT-01A,0.002,0.000,0.014,0.000,0.000,0.000,0.000,0.096,0.034,0.037,0.011,0.000,0.000,0.005,0.000,0.801,0.801
TCGA-BK-A0CC-01B,0.011,0.009,0.024,0.024,0.001,0.005,0.001,0.084,0.150,0.034,0.037,0.040,0.001,0.063,0.016,0.500,0.500
TCGA-KP-A3W4-01A,0.002,0.000,0.013,0.001,0.012,0.000,0.005,0.078,0.113,0.004,0.026,0.002,0.000,0.005,0.000,0.739,0.739
TCGA-FI-A2D6-01A,0.007,0.000,0.041,0.017,0.024,0.000,0.004,0.017,0.025,0.001,0.071,0.000,0.000,0.002,0.000,0.790,0.790
TCGA-BG-A0MQ-01A,0.011,0.000,0.002,0.004,0.000,0.000,0.007,0.031,0.006,0.010,0.011,0.000,0.000,0.001,0.000,0.916,0.916
TCGA-D1-A16Y-01A,0.002,0.000,0.011,0.005,0.001,0.000,0.006,0.020,0.058,0.020,0.008,0.000,0.000,0.002,0.000,0.864,0.864
TCGA-A5-A0R7-01A,0.020,0.000,0.017,0.005,0.005,0.000,0.013,0.073,0.143,0.019,0.013,0.000,0.000,0.001,0.000,0.690,0.690
TCGA-BG-A186-01A,0.028,0.000,0.006,0.000,0.002,0.000,0.015,0.044,0.040,0.009,0.033,0.000,0.000,0.001,0.000,0.821,0.821
