sample_id,Cell fraction,labels,Cell type
TCGA-DK-AA6Q,0.0,c0,Plasma B cells
TCGA-BT-A3PJ,0.0,c0,Plasma B cells
TCGA-XF-A8HE,0.0,c0,Plasma B cells
TCGA-ZF-A9RD,0.05921052631578947,c0,Plasma B cells
TCGA-G2-A2EO,0.08552631578947369,c0,Plasma B cells
TCGA-4Z-AA86,0.05921052631578947,c0,Plasma B cells
TCGA-4Z-AA7W,0.13157894736842107,c0,Plasma B cells
TCGA-GC-A3RC,0.006578947368421053,c0,Plasma B cells
TCGA-XF-AAN5,0.0,c0,Plasma B cells
TCGA-FD-A3B6,0.0,c0,Plasma B cells
TCGA-ZF-AA58,0.03289473684210527,c0,Plasma B cells
TCGA-XF-A9T8,0.0,c0,Plasma B cells
TCGA-E7-A7XN,0.0,c0,Plasma B cells
TCGA-UY-A9PH,0.14473684210526316,c0,Plasma B cells
TCGA-GU-A762,0.052631578947368425,c0,Plasma B cells
TCGA-XF-A9SJ,0.08552631578947369,c0,Plasma B cells
TCGA-DK-A3WW,0.0,c0,Plasma B cells
TCGA-E7-A97P,0.0,c0,Plasma B cells
TCGA-XF-A9SI,0.19078947368421054,c0,Plasma B cells
TCGA-E7-A7DV,0.0,c0,Plasma B cells
TCGA-ZF-A9R7,0.15789473684210528,c0,Plasma B cells
TCGA-K4-A5RJ,0.0,c0,Plasma B cells
TCGA-LC-A66R,0.19736842105263158,c0,Plasma B cells
TCGA-2F-A9KO,0.1513157894736842,c0,Plasma B cells
TCGA-DK-A3WX,0.006578947368421053,c0,Plasma B cells
TCGA-DK-A3IU,0.08552631578947369,c0,Plasma B cells
TCGA-G2-AA3C,0.0,c0,Plasma B cells
TCGA-GU-A766,0.01973684210526316,c0,Plasma B cells
TCGA-ZF-A9RN,0.0,c0,Plasma B cells
TCGA-G2-A2EF,0.0,c0,Plasma B cells
TCGA-4Z-AA7Q,0.16447368421052633,c0,Plasma B cells
TCGA-XF-A9T5,0.09868421052631579,c0,Plasma B cells
TCGA-ZF-A9RF,0.006578947368421053,c0,Plasma B cells
TCGA-BT-A20J,0.11842105263157894,c0,Plasma B cells
TCGA-XF-A9SM,0.006578947368421053,c0,Plasma B cells
TCGA-XF-A8HD,0.11184210526315791,c0,Plasma B cells
TCGA-GC-A3WC,0.16447368421052633,c0,Plasma B cells
TCGA-GC-A6I1,0.44736842105263164,c0,Plasma B cells
TCGA-GC-A6I3,0.17105263157894737,c0,Plasma B cells
TCGA-ZF-AA4V,0.0,c0,Plasma B cells
TCGA-FD-A5C1,0.026315789473684213,c0,Plasma B cells
TCGA-XF-AAN2,0.0,c0,Plasma B cells
TCGA-K4-A54R,0.006578947368421053,c0,Plasma B cells
TCGA-DK-A2I4,0.09210526315789475,c0,Plasma B cells
TCGA-BT-A20O,0.125,c0,Plasma B cells
TCGA-K4-A5RH,0.026315789473684213,c0,Plasma B cells
TCGA-FD-A5BT,0.07236842105263158,c0,Plasma B cells
TCGA-FD-A62N,0.20394736842105265,c0,Plasma B cells
TCGA-DK-A6B5,0.026315789473684213,c0,Plasma B cells
TCGA-FD-A43P,0.07894736842105264,c0,Plasma B cells
TCGA-XF-A9SY,0.13157894736842107,c0,Plasma B cells
TCGA-E7-A3X6,0.006578947368421053,c0,Plasma B cells
TCGA-BT-A42F,0.27631578947368424,c0,Plasma B cells
TCGA-BT-A42E,0.0,c0,Plasma B cells
TCGA-FD-A5BU,0.05921052631578947,c0,Plasma B cells
TCGA-FD-A3B3,0.14473684210526316,c0,Plasma B cells
TCGA-FD-A5BS,1.0,c0,Plasma B cells
TCGA-DK-A3IV,0.03947368421052632,c0,Plasma B cells
TCGA-SY-A9G5,0.03289473684210527,c0,Plasma B cells
TCGA-UY-A9PB,0.17105263157894737,c0,Plasma B cells
TCGA-ZF-AA53,0.03289473684210527,c0,Plasma B cells
TCGA-UY-A78K,0.11184210526315791,c0,Plasma B cells
TCGA-G2-A3IB,0.0,c1,Plasma B cells
TCGA-FD-A3N6,0.0,c1,Plasma B cells
TCGA-FJ-A3ZE,0.0,c1,Plasma B cells
TCGA-CF-A7I0,0.0,c1,Plasma B cells
TCGA-GC-A3RB,0.026315789473684213,c1,Plasma B cells
TCGA-DK-A6AW,0.0,c1,Plasma B cells
TCGA-GV-A3QK,0.026315789473684213,c1,Plasma B cells
TCGA-CU-A3QU,0.0,c1,Plasma B cells
TCGA-DK-A6B6,0.11842105263157894,c1,Plasma B cells
TCGA-FD-A3B5,0.0,c1,Plasma B cells
TCGA-4Z-AA82,0.006578947368421053,c1,Plasma B cells
TCGA-FD-A6TH,0.03289473684210527,c1,Plasma B cells
TCGA-CF-A5U8,0.0,c1,Plasma B cells
TCGA-E7-A8O8,0.0,c1,Plasma B cells
TCGA-K4-A6MB,0.006578947368421053,c1,Plasma B cells
TCGA-ZF-AA4U,0.0,c1,Plasma B cells
TCGA-4Z-AA7O,0.08552631578947369,c1,Plasma B cells
TCGA-FD-A62O,0.01973684210526316,c1,Plasma B cells
TCGA-DK-A6AV,0.026315789473684213,c1,Plasma B cells
TCGA-YC-A89H,0.03947368421052632,c1,Plasma B cells
TCGA-FD-A43Y,0.0,c1,Plasma B cells
TCGA-XF-AAML,0.03947368421052632,c1,Plasma B cells
TCGA-FD-A5BY,0.0,c1,Plasma B cells
TCGA-CU-A3YL,0.052631578947368425,c1,Plasma B cells
TCGA-2F-A9KT,0.013157894736842106,c1,Plasma B cells
TCGA-XF-A8HF,0.11184210526315791,c1,Plasma B cells
TCGA-XF-AAN1,0.0,c1,Plasma B cells
TCGA-FJ-A3ZF,0.0,c1,Plasma B cells
TCGA-DK-A2I6,0.0,c1,Plasma B cells
TCGA-DK-A1AG,0.026315789473684213,c1,Plasma B cells
TCGA-G2-A2EL,0.0,c1,Plasma B cells
TCGA-GU-A763,0.0,c1,Plasma B cells
TCGA-E7-A4IJ,0.07236842105263158,c1,Plasma B cells
TCGA-XF-A8HH,0.05921052631578947,c1,Plasma B cells
TCGA-ZF-A9RC,0.006578947368421053,c1,Plasma B cells
TCGA-DK-A1AA,0.0,c1,Plasma B cells
TCGA-DK-A3IS,0.0,c1,Plasma B cells
TCGA-UY-A78L,0.006578947368421053,c1,Plasma B cells
TCGA-4Z-AA7S,0.0,c1,Plasma B cells
TCGA-DK-A1A6,0.0,c1,Plasma B cells
TCGA-XF-A9T6,0.0,c1,Plasma B cells
TCGA-GV-A40G,0.0,c1,Plasma B cells
TCGA-CF-A47X,0.0,c1,Plasma B cells
TCGA-XF-A9T0,0.22368421052631582,c1,Plasma B cells
TCGA-GV-A6ZA,0.03289473684210527,c1,Plasma B cells
TCGA-PQ-A6FN,0.06578947368421054,c1,Plasma B cells
TCGA-GU-AATQ,0.0,c1,Plasma B cells
TCGA-K4-A5RI,0.0,c1,Plasma B cells
TCGA-GC-A3I6,0.0,c1,Plasma B cells
TCGA-DK-A6B1,0.0,c1,Plasma B cells
TCGA-XF-AAMZ,0.006578947368421053,c1,Plasma B cells
TCGA-GU-AATO,0.11842105263157894,c1,Plasma B cells
TCGA-XF-A9SV,0.0,c1,Plasma B cells
TCGA-FD-A6TE,0.03947368421052632,c1,Plasma B cells
TCGA-K4-A3WV,0.0,c1,Plasma B cells
TCGA-CF-A3MG,0.0,c1,Plasma B cells
TCGA-XF-A9SH,0.04605263157894737,c1,Plasma B cells
TCGA-4Z-AA87,0.06578947368421054,c1,Plasma B cells
TCGA-CF-A47S,0.0,c1,Plasma B cells
TCGA-KQ-A41Q,0.0,c1,Plasma B cells
TCGA-XF-A9T2,0.0,c1,Plasma B cells
TCGA-E7-A3Y1,0.0,c1,Plasma B cells
TCGA-BT-A42C,0.0,c1,Plasma B cells
TCGA-FD-A43X,0.0,c1,Plasma B cells
TCGA-FJ-A3Z7,0.0,c1,Plasma B cells
TCGA-CF-A9FF,0.0,c1,Plasma B cells
TCGA-GU-AATP,0.052631578947368425,c1,Plasma B cells
TCGA-FD-A3SJ,0.026315789473684213,c1,Plasma B cells
TCGA-CF-A47Y,0.0,c1,Plasma B cells
TCGA-CU-A5W6,0.11184210526315791,c1,Plasma B cells
TCGA-XF-A8HC,0.0,c1,Plasma B cells
TCGA-E7-A678,0.07236842105263158,c1,Plasma B cells
TCGA-4Z-AA80,0.026315789473684213,c1,Plasma B cells
TCGA-FD-A6TC,0.08552631578947369,c1,Plasma B cells
TCGA-E7-A7DU,0.0,c1,Plasma B cells
TCGA-UY-A78O,0.06578947368421054,c1,Plasma B cells
TCGA-CF-A1HS,0.0,c1,Plasma B cells
TCGA-GU-A42P,0.01973684210526316,c1,Plasma B cells
TCGA-XF-AAN0,0.09210526315789475,c1,Plasma B cells
TCGA-DK-A3IL,0.0,c1,Plasma B cells
TCGA-2F-A9KP,0.0,c1,Plasma B cells
TCGA-UY-A78N,0.0,c1,Plasma B cells
TCGA-FJ-A3Z9,0.0,c1,Plasma B cells
TCGA-BT-A20U,0.0,c1,Plasma B cells
TCGA-ZF-AA5N,0.09210526315789475,c1,Plasma B cells
TCGA-DK-A6B0,0.0,c1,Plasma B cells
TCGA-XF-A9SU,0.11842105263157894,c1,Plasma B cells
TCGA-GC-A4ZW,0.0,c1,Plasma B cells
TCGA-CU-A72E,0.0,c1,Plasma B cells
TCGA-DK-A3X2,0.0,c1,Plasma B cells
TCGA-G2-AA3F,0.006578947368421053,c1,Plasma B cells
TCGA-G2-A3VY,0.04605263157894737,c1,Plasma B cells
TCGA-YC-A9TC,0.0,c1,Plasma B cells
TCGA-G2-A2EJ,0.0,c1,Plasma B cells
TCGA-C4-A0F6,0.07894736842105264,c1,Plasma B cells
TCGA-GV-A40E,0.026315789473684213,c1,Plasma B cells
TCGA-XF-A8HI,0.03947368421052632,c1,Plasma B cells
TCGA-DK-AA6U,0.0,c1,Plasma B cells
TCGA-DK-AA77,0.01973684210526316,c1,Plasma B cells
TCGA-UY-A78M,0.013157894736842106,c1,Plasma B cells
TCGA-4Z-AA89,0.0,c1,Plasma B cells
TCGA-E7-A6MF,0.0,c1,Plasma B cells
TCGA-CF-A47T,0.0,c1,Plasma B cells
TCGA-UY-A8OC,0.013157894736842106,c1,Plasma B cells
TCGA-CF-A3MH,0.0,c1,Plasma B cells
TCGA-E7-A677,0.006578947368421053,c1,Plasma B cells
TCGA-4Z-AA84,0.07894736842105264,c1,Plasma B cells
TCGA-4Z-AA7M,0.013157894736842106,c1,Plasma B cells
TCGA-DK-AA6P,0.013157894736842106,c1,Plasma B cells
TCGA-KQ-A41R,0.0,c1,Plasma B cells
TCGA-PQ-A6FI,0.0,c1,Plasma B cells
TCGA-2F-A9KQ,0.0,c1,Plasma B cells
TCGA-GU-A767,0.006578947368421053,c1,Plasma B cells
TCGA-5N-A9KM,0.06578947368421054,c1,Plasma B cells
TCGA-DK-A1AE,0.0,c1,Plasma B cells
TCGA-GV-A3JX,0.026315789473684213,c1,Plasma B cells
TCGA-BT-A20N,0.013157894736842106,c1,Plasma B cells
TCGA-S5-AA26,0.0,c1,Plasma B cells
TCGA-UY-A9PD,0.1842105263157895,c1,Plasma B cells
TCGA-CF-A27C,0.0,c1,Plasma B cells
TCGA-ZF-AA4N,0.0,c1,Plasma B cells
TCGA-ZF-AA4R,0.013157894736842106,c1,Plasma B cells
TCGA-4Z-AA7R,0.125,c1,Plasma B cells
TCGA-DK-AA6W,0.0,c1,Plasma B cells
TCGA-2F-A9KR,0.052631578947368425,c1,Plasma B cells
TCGA-GV-A3QH,0.026315789473684213,c1,Plasma B cells
TCGA-BT-A20X,0.01973684210526316,c1,Plasma B cells
TCGA-DK-AA75,0.0,c1,Plasma B cells
TCGA-FD-A43N,0.10526315789473685,c1,Plasma B cells
TCGA-YF-AA3M,0.0,c1,Plasma B cells
TCGA-C4-A0F0,0.0,c1,Plasma B cells
TCGA-H4-A2HO,0.0,c1,Plasma B cells
TCGA-CF-A47V,0.006578947368421053,c1,Plasma B cells
TCGA-HQ-A5NE,0.006578947368421053,c1,Plasma B cells
TCGA-FD-A3NA,0.03947368421052632,c1,Plasma B cells
TCGA-ZF-A9RL,0.0,c1,Plasma B cells
TCGA-DK-A3IM,0.0,c1,Plasma B cells
TCGA-LT-A5Z6,0.11184210526315791,c1,Plasma B cells
TCGA-BL-A0C8,0.006578947368421053,c1,Plasma B cells
TCGA-E7-A85H,0.052631578947368425,c1,Plasma B cells
TCGA-FT-A3EE,0.03947368421052632,c1,Plasma B cells
TCGA-KQ-A41S,0.0,c1,Plasma B cells
TCGA-BT-A0YX,0.01973684210526316,c1,Plasma B cells
TCGA-CF-A8HX,0.0,c1,Plasma B cells
TCGA-DK-AA6L,0.026315789473684213,c1,Plasma B cells
TCGA-E7-A4XJ,0.0,c1,Plasma B cells
TCGA-XF-A8HB,0.0,c1,Plasma B cells
TCGA-XF-AAMX,0.04605263157894737,c1,Plasma B cells
TCGA-XF-AAMG,0.006578947368421053,c1,Plasma B cells
TCGA-ZF-AA4T,0.013157894736842106,c1,Plasma B cells
TCGA-FD-A5BV,0.0,c1,Plasma B cells
TCGA-YF-AA3L,0.0,c1,Plasma B cells
TCGA-FJ-A871,0.0,c1,Plasma B cells
TCGA-FD-A6TF,0.026315789473684213,c1,Plasma B cells
TCGA-GV-A3QF,0.013157894736842106,c1,Plasma B cells
TCGA-FD-A3N5,0.0,c1,Plasma B cells
TCGA-C4-A0F7,0.0,c1,Plasma B cells
TCGA-GC-A3RD,0.0,c1,Plasma B cells
TCGA-GC-A3YS,0.0,c1,Plasma B cells
TCGA-HQ-A2OF,0.0,c1,Plasma B cells
TCGA-C4-A0EZ,0.0,c1,Plasma B cells
TCGA-CU-A3KJ,0.0,c1,Plasma B cells
TCGA-BT-A2LD,0.15789473684210528,c1,Plasma B cells
TCGA-KQ-A41O,0.0,c1,Plasma B cells
TCGA-LT-A8JT,0.03947368421052632,c1,Plasma B cells
TCGA-GD-A6C6,0.0,c1,Plasma B cells
TCGA-E7-A5KE,0.006578947368421053,c1,Plasma B cells
TCGA-FD-A5C0,0.013157894736842106,c1,Plasma B cells
TCGA-K4-A4AB,0.006578947368421053,c1,Plasma B cells
TCGA-GU-A42R,0.006578947368421053,c1,Plasma B cells
TCGA-E7-A5KF,0.0,c1,Plasma B cells
TCGA-GC-A3BM,0.0,c1,Plasma B cells
TCGA-CF-A3MF,0.0,c1,Plasma B cells
TCGA-BT-A20V,0.0,c1,Plasma B cells
TCGA-E7-A6ME,0.06578947368421054,c1,Plasma B cells
TCGA-XF-AAMY,0.013157894736842106,c1,Plasma B cells
TCGA-CF-A47W,0.0,c1,Plasma B cells
TCGA-XF-A9ST,0.006578947368421053,c1,Plasma B cells
TCGA-FD-A3SN,0.026315789473684213,c1,Plasma B cells
TCGA-G2-A2ES,0.0,c1,Plasma B cells
TCGA-XF-AAN3,0.0,c1,Plasma B cells
TCGA-DK-AA76,0.0,c1,Plasma B cells
TCGA-DK-AA6T,0.013157894736842106,c1,Plasma B cells
TCGA-DK-A3X1,0.0,c1,Plasma B cells
TCGA-XF-AAMH,0.026315789473684213,c1,Plasma B cells
TCGA-ZF-A9R5,0.04605263157894737,c1,Plasma B cells
TCGA-GV-A3JZ,0.04605263157894737,c1,Plasma B cells
TCGA-ZF-A9R2,0.0,c1,Plasma B cells
TCGA-BL-A3JM,0.006578947368421053,c1,Plasma B cells
TCGA-G2-AA3D,0.08552631578947369,c1,Plasma B cells
TCGA-BT-A0S7,0.006578947368421053,c1,Plasma B cells
TCGA-CF-A8HY,0.0,c1,Plasma B cells
TCGA-UY-A9PE,0.10526315789473685,c1,Plasma B cells
TCGA-GV-A3QI,0.006578947368421053,c1,Plasma B cells
TCGA-E5-A4TZ,0.0,c1,Plasma B cells
TCGA-FD-A6TI,0.013157894736842106,c1,Plasma B cells
TCGA-XF-A8HG,0.0,c1,Plasma B cells
TCGA-E5-A2PC,0.0,c1,Plasma B cells
TCGA-UY-A9PA,0.0,c1,Plasma B cells
TCGA-4Z-AA7Y,0.0,c1,Plasma B cells
TCGA-G2-A3IE,0.03289473684210527,c1,Plasma B cells
TCGA-BT-A3PH,0.052631578947368425,c1,Plasma B cells
TCGA-G2-AA3B,0.026315789473684213,c1,Plasma B cells
TCGA-MV-A51V,0.006578947368421053,c1,Plasma B cells
TCGA-HQ-A2OE,0.03289473684210527,c1,Plasma B cells
TCGA-BT-A20P,0.0,c1,Plasma B cells
TCGA-ZF-A9R0,0.006578947368421053,c1,Plasma B cells
TCGA-DK-AA6R,0.0,c1,Plasma B cells
TCGA-CF-A9FH,0.0,c1,Plasma B cells
TCGA-KQ-A41N,0.0,c1,Plasma B cells
TCGA-5N-A9KI,0.03947368421052632,c1,Plasma B cells
TCGA-GD-A2C5,0.04605263157894737,c1,Plasma B cells
TCGA-CU-A0YR,0.16447368421052633,c1,Plasma B cells
TCGA-ZF-A9R4,0.03289473684210527,c1,Plasma B cells
TCGA-DK-AA71,0.0,c1,Plasma B cells
TCGA-ZF-AA4W,0.0,c1,Plasma B cells
TCGA-ZF-A9RE,0.006578947368421053,c1,Plasma B cells
TCGA-DK-A1AD,0.01973684210526316,c1,Plasma B cells
TCGA-GU-A42Q,0.0,c1,Plasma B cells
TCGA-CF-A5UA,0.0,c1,Plasma B cells
TCGA-FD-A3SS,0.006578947368421053,c1,Plasma B cells
TCGA-DK-A1A7,0.0,c1,Plasma B cells
TCGA-CF-A9FM,0.0,c1,Plasma B cells
TCGA-GD-A3OQ,0.0,c1,Plasma B cells
TCGA-E7-A519,0.006578947368421053,c1,Plasma B cells
TCGA-C4-A0F1,0.0,c1,Plasma B cells
TCGA-ZF-AA4X,0.0,c1,Plasma B cells
TCGA-E5-A4U1,0.0,c1,Plasma B cells
TCGA-4Z-AA83,0.0,c1,Plasma B cells
TCGA-E7-A97Q,0.11842105263157894,c1,Plasma B cells
TCGA-CF-A1HR,0.09210526315789475,c1,Plasma B cells
TCGA-2F-A9KW,0.026315789473684213,c1,Plasma B cells
TCGA-DK-A3IK,0.07894736842105264,c1,Plasma B cells
TCGA-4Z-AA81,0.013157894736842106,c1,Plasma B cells
TCGA-UY-A8OB,0.0,c1,Plasma B cells
TCGA-HQ-A5ND,0.0,c1,Plasma B cells
TCGA-ZF-A9RM,0.0,c1,Plasma B cells
TCGA-CF-A9FL,0.03947368421052632,c1,Plasma B cells
TCGA-GV-A3JW,0.01973684210526316,c1,Plasma B cells
TCGA-E7-A7PW,0.0,c1,Plasma B cells
TCGA-XF-A9T4,0.0,c1,Plasma B cells
TCGA-H4-A2HQ,0.08552631578947369,c1,Plasma B cells
TCGA-BT-A2LA,0.0,c1,Plasma B cells
TCGA-ZF-A9R1,0.026315789473684213,c1,Plasma B cells
TCGA-DK-A1A3,0.07894736842105264,c1,Plasma B cells
TCGA-CF-A3MI,0.0,c1,Plasma B cells
TCGA-K4-A4AC,0.0,c1,Plasma B cells
TCGA-ZF-AA5H,0.052631578947368425,c1,Plasma B cells
TCGA-KQ-A41P,0.03947368421052632,c1,Plasma B cells
TCGA-ZF-AA51,0.15789473684210528,c2,Plasma B cells
TCGA-GD-A76B,0.2565789473684211,c2,Plasma B cells
TCGA-FD-A3SR,0.013157894736842106,c2,Plasma B cells
TCGA-FD-A5BZ,0.05921052631578947,c2,Plasma B cells
TCGA-K4-A3WS,0.03947368421052632,c2,Plasma B cells
TCGA-GD-A3OS,0.05921052631578947,c2,Plasma B cells
TCGA-DK-A3IQ,0.013157894736842106,c2,Plasma B cells
TCGA-DK-AA6X,0.006578947368421053,c2,Plasma B cells
TCGA-XF-AAN8,0.0,c2,Plasma B cells
TCGA-XF-AAMR,0.01973684210526316,c2,Plasma B cells
TCGA-ZF-A9R3,0.10526315789473685,c2,Plasma B cells
TCGA-BL-A13J,0.05921052631578947,c2,Plasma B cells
TCGA-BT-A20T,0.0,c2,Plasma B cells
TCGA-XF-AAMW,0.026315789473684213,c2,Plasma B cells
TCGA-DK-A2HX,0.03289473684210527,c2,Plasma B cells
TCGA-FD-A3SP,0.03947368421052632,c2,Plasma B cells
TCGA-XF-AAMT,0.05921052631578947,c2,Plasma B cells
TCGA-XF-A9SX,0.03947368421052632,c2,Plasma B cells
TCGA-YC-A8S6,0.0,c2,Plasma B cells
TCGA-R3-A69X,0.08552631578947369,c2,Plasma B cells
TCGA-XF-A9SW,0.07236842105263158,c2,Plasma B cells
TCGA-GV-A3QG,0.22368421052631582,c2,Plasma B cells
TCGA-XF-AAMQ,0.052631578947368425,c2,Plasma B cells
TCGA-UY-A8OD,0.04605263157894737,c2,Plasma B cells
TCGA-GU-A764,0.1842105263157895,c2,Plasma B cells
TCGA-XF-AAN7,0.0,c2,Plasma B cells
TCGA-K4-A6FZ,0.0,c2,Plasma B cells
TCGA-FD-A6TK,0.03947368421052632,c2,Plasma B cells
TCGA-GV-A3JV,0.07236842105263158,c2,Plasma B cells
TCGA-BL-A13I,0.03289473684210527,c2,Plasma B cells
TCGA-ZF-A9R9,0.14473684210526316,c2,Plasma B cells
TCGA-XF-AAME,0.15789473684210528,c2,Plasma B cells
TCGA-FD-A5BX,0.0,c2,Plasma B cells
TCGA-DK-A2I1,0.21710526315789477,c2,Plasma B cells
TCGA-XF-A9SL,0.03947368421052632,c2,Plasma B cells
TCGA-FD-A3B7,0.1513157894736842,c2,Plasma B cells
TCGA-DK-A3IN,0.05921052631578947,c2,Plasma B cells
TCGA-FD-A3SO,0.006578947368421053,c2,Plasma B cells
TCGA-DK-A3WY,0.19736842105263158,c2,Plasma B cells
TCGA-CU-A0YN,0.04605263157894737,c2,Plasma B cells
TCGA-FD-A6TB,0.07236842105263158,c2,Plasma B cells
TCGA-FD-A6TA,0.28289473684210525,c2,Plasma B cells
TCGA-FD-A43S,0.13157894736842107,c2,Plasma B cells
TCGA-G2-A2EC,0.11842105263157894,c2,Plasma B cells
TCGA-XF-A9SZ,0.052631578947368425,c2,Plasma B cells
TCGA-XF-AAN4,0.006578947368421053,c2,Plasma B cells
TCGA-FD-A3SM,0.006578947368421053,c2,Plasma B cells
TCGA-XF-AAMJ,0.11184210526315791,c2,Plasma B cells
TCGA-E7-A6MD,0.13157894736842107,c2,Plasma B cells
TCGA-K4-A3WU,0.05921052631578947,c2,Plasma B cells
TCGA-FD-A3SL,0.01973684210526316,c2,Plasma B cells
TCGA-ZF-AA52,0.05921052631578947,c2,Plasma B cells
TCGA-E7-A541,0.03947368421052632,c2,Plasma B cells
TCGA-ZF-AA5P,0.1513157894736842,c2,Plasma B cells
TCGA-BL-A5ZZ,0.0,c2,Plasma B cells
TCGA-BT-A20W,0.06578947368421054,c2,Plasma B cells
TCGA-XF-A9T3,0.026315789473684213,c2,Plasma B cells
TCGA-FD-A6TG,0.10526315789473685,c2,Plasma B cells
TCGA-ZF-AA56,0.09210526315789475,c2,Plasma B cells
TCGA-FD-A5BR,0.21710526315789477,c2,Plasma B cells
TCGA-FT-A61P,0.01973684210526316,c2,Plasma B cells
TCGA-K4-AAQO,0.06578947368421054,c2,Plasma B cells
TCGA-G2-A2EK,0.006578947368421053,c2,Plasma B cells
TCGA-BT-A20Q,0.15789473684210528,c2,Plasma B cells
TCGA-DK-AA74,0.03289473684210527,c2,Plasma B cells
TCGA-DK-A1AB,0.06578947368421054,c2,Plasma B cells
TCGA-SY-A9G0,0.08552631578947369,c2,Plasma B cells
TCGA-ZF-AA54,0.0,c2,Plasma B cells
TCGA-DK-A1A5,0.0,c2,Plasma B cells
TCGA-4Z-AA7N,0.08552631578947369,c2,Plasma B cells
TCGA-DK-AA6M,0.006578947368421053,c2,Plasma B cells
TCGA-BT-A3PK,0.026315789473684213,c2,Plasma B cells
TCGA-FD-A62P,0.006578947368421053,c2,Plasma B cells
TCGA-DK-A1AC,0.03289473684210527,c2,Plasma B cells
TCGA-FD-A43U,0.27631578947368424,c2,Plasma B cells
TCGA-FD-A3B8,0.05921052631578947,c2,Plasma B cells
TCGA-FD-A6TD,0.06578947368421054,c2,Plasma B cells
TCGA-FD-A62S,0.10526315789473685,c2,Plasma B cells
TCGA-FD-A3B4,0.07236842105263158,c2,Plasma B cells
TCGA-XF-A9SK,0.07894736842105264,c2,Plasma B cells
TCGA-UY-A9PF,0.03947368421052632,c2,Plasma B cells
TCGA-FD-A3SQ,0.15789473684210528,c2,Plasma B cells
TCGA-DK-AA6S,0.0,c2,Plasma B cells
TCGA-S5-A6DX,0.2302631578947369,c2,Plasma B cells
TCGA-CU-A0YO,0.006578947368421053,c2,Plasma B cells
TCGA-E7-A8O7,0.04605263157894737,c2,Plasma B cells
TCGA-K4-A83P,0.28289473684210525,c2,Plasma B cells
TCGA-DK-A6B2,0.125,c2,Plasma B cells
TCGA-UY-A78P,0.026315789473684213,c2,Plasma B cells
TCGA-GC-A3OO,0.0,c2,Plasma B cells
TCGA-DK-A1AF,0.06578947368421054,c2,Plasma B cells
TCGA-DK-A2I2,0.0,c2,Plasma B cells
TCGA-XF-A9SP,0.10526315789473685,c2,Plasma B cells
TCGA-DK-A3IT,0.11842105263157894,c2,Plasma B cells
TCGA-BT-A2LB,0.06578947368421054,c2,Plasma B cells
TCGA-BT-A20R,0.0,c2,Plasma B cells
TCGA-GD-A3OP,0.03947368421052632,c2,Plasma B cells
TCGA-DK-AA6Q,0.0014204545454545457,c0,Non-plasma B cells
TCGA-BT-A3PJ,0.0014204545454545457,c0,Non-plasma B cells
TCGA-XF-A8HE,0.0014204545454545457,c0,Non-plasma B cells
TCGA-ZF-A9RD,0.03125,c0,Non-plasma B cells
TCGA-G2-A2EO,0.0014204545454545457,c0,Non-plasma B cells
TCGA-4Z-AA86,0.0014204545454545457,c0,Non-plasma B cells
TCGA-4Z-AA7W,0.0028409090909090914,c0,Non-plasma B cells
TCGA-GC-A3RC,0.005681818181818183,c0,Non-plasma B cells
TCGA-XF-AAN5,0.0014204545454545457,c0,Non-plasma B cells
TCGA-FD-A3B6,0.0014204545454545457,c0,Non-plasma B cells
TCGA-ZF-AA58,0.0014204545454545457,c0,Non-plasma B cells
TCGA-XF-A9T8,0.0028409090909090914,c0,Non-plasma B cells
TCGA-E7-A7XN,0.0014204545454545457,c0,Non-plasma B cells
TCGA-UY-A9PH,0.0028409090909090914,c0,Non-plasma B cells
TCGA-GU-A762,0.0028409090909090914,c0,Non-plasma B cells
TCGA-XF-A9SJ,0.0014204545454545457,c0,Non-plasma B cells
TCGA-DK-A3WW,0.0,c0,Non-plasma B cells
TCGA-E7-A97P,0.0014204545454545457,c0,Non-plasma B cells
TCGA-XF-A9SI,0.0809659090909091,c0,Non-plasma B cells
TCGA-E7-A7DV,0.0,c0,Non-plasma B cells
TCGA-ZF-A9R7,0.01988636363636364,c0,Non-plasma B cells
TCGA-K4-A5RJ,0.0,c0,Non-plasma B cells
TCGA-LC-A66R,0.0,c0,Non-plasma B cells
TCGA-2F-A9KO,0.007102272727272728,c0,Non-plasma B cells
TCGA-DK-A3WX,0.0014204545454545457,c0,Non-plasma B cells
TCGA-DK-A3IU,0.10937500000000001,c0,Non-plasma B cells
TCGA-G2-AA3C,0.0,c0,Non-plasma B cells
TCGA-GU-A766,0.005681818181818183,c0,Non-plasma B cells
TCGA-ZF-A9RN,0.0,c0,Non-plasma B cells
TCGA-G2-A2EF,0.0014204545454545457,c0,Non-plasma B cells
TCGA-4Z-AA7Q,0.0028409090909090914,c0,Non-plasma B cells
TCGA-XF-A9T5,0.004261363636363637,c0,Non-plasma B cells
TCGA-ZF-A9RF,0.0014204545454545457,c0,Non-plasma B cells
TCGA-BT-A20J,0.0014204545454545457,c0,Non-plasma B cells
TCGA-XF-A9SM,0.0014204545454545457,c0,Non-plasma B cells
TCGA-XF-A8HD,0.0014204545454545457,c0,Non-plasma B cells
TCGA-GC-A3WC,0.036931818181818184,c0,Non-plasma B cells
TCGA-GC-A6I1,0.0,c0,Non-plasma B cells
